Year,CountyCode,CountyName,CauseOfLossCode,CauseOfLossDescription,MonthOfLoss,MonthOfLossName,PoliciesEarningPremium,PoliciesIndemnified,NetPlantedAcres,Liability,TotalPremium,NetAcresLoss,Indemnity,IndemnityByPremium
1999,11,Colusa                        ,41,Frost                                                                                               ,4,APR,1,1,104.1,52879,2221,104.1,13429,6.05
1999,11,Colusa                        ,44,Cold Wet Weather                                                                                    ,8,AUG,2,2,343.2,110362,2830,343.2,59839,21.14
1999,11,Colusa                        ,44,Cold Wet Weather                                                                                    ,11,NOV,6,6,1011.76,522777,25769,1011.775,185451,7.2
1999,11,Colusa                        ,44,Cold Wet Weather                                                                                    ,7,JUL,7,7,567.198,335059.28,11182.67,567.2674,53644.11,4.8
1999,11,Colusa                        ,44,Cold Wet Weather                                                                                    ,5,MAY,1,1,58.212,25493.72,841.33,58.212,3704.89,4.4
1999,11,Colusa                        ,44,Cold Wet Weather                                                                                    ,7,JUL,1,1,207.2,24133,717,207.2,23447,32.7
1999,11,Colusa                        ,44,Cold Wet Weather                                                                                    ,10,OCT,1,1,19,3024,74,19,273,3.69
1999,11,Colusa                        ,44,Cold Wet Weather                                                                                    ,9,SEP,1,1,208.6,105730,5055,208.6,46989,9.3
1999,11,Colusa                        ,44,Cold Wet Weather                                                                                    ,8,AUG,4,4,340.55,71493,1240,340.555,12237,9.87
1999,11,Colusa                        ,61,Wind/Excess Wind                                                                                    ,5,MAY,1,1,197.4,103179,2560,33,1254,0.49
1999,11,Colusa                        ,99,"Other (Snow,Lightning,etc)                                                                        ",6,JUN,2,2,653.9,320418,8823,662.7,99753,11.31
1999,11,Colusa                        ,99,"Other (Snow,Lightning,etc)                                                                        ",6,JUN,1,1,197,76200,3231,204.5,29473,9.12
1999,11,Colusa                        ,99,"Other (Snow,Lightning,etc)                                                                        ",8,AUG,3,3,217.68,42566,729,217.695,9629,13.21
1999,11,Colusa                        ,99,"Other (Snow,Lightning,etc)                                                                        ",7,JUL,1,1,152.8,29824,510,152.8,4248,8.33
1999,11,Colusa                        ,99,"Other (Snow,Lightning,etc)                                                                        ",6,JUN,1,1,187.5,36163,618,187.5,13109,21.21
1999,21,Glenn                         ,41,Frost                                                                                               ,8,AUG,1,1,404.3,78532,1484,404.3,27379,18.45
1999,21,Glenn                         ,41,Frost                                                                                               ,7,JUL,1,1,770,376503,9488,770,12947,1.36
1999,21,Glenn                         ,43,Cold Winter                                                                                         ,7,JUL,1,1,59.6,12105,229,59.6,4538,19.82
