Date,Value,Anomaly
1995,58.9,1.5
1996,59.6,2.2
1997,59.1,1.7
1998,56.7,-0.7
1999,58,0.6
2000,58.8,1.4
2001,59.1,1.7
2002,58.8,1.4
2003,59.4,2
2004,58.9,1.5
2005,58.6,1.2
2006,58.6,1.2
2007,58.9,1.5
2008,58.9,1.5
2009,58.8,1.4
2010,57.7,0.3
2011,57.4,0
2012,59.5,2.1
2013,59.3,1.9
2014,61.4,4
2015,60.8,3.4
2016,60.1,2.7
2017,60.3,2.9
2018,60.1,2.7
2019,58.4,1
